Query,Name,Email,Website,Phone,Integrations,Google Maps URL
restaurants in London,Bill’s London Bridge Restaurant,marketing@bills-email.co.uk,https://bills-website.co.uk/restaurants/clink-street/?utm_source=LocalGoogle&utm_medium=Organic,+44 20 8054 5400,OpenTable,https://www.google.com/maps/place/Bill%E2%80%99s+London+Bridge+Restaurant/data=!4m7!3m6!1s0x48760357ad9aec53:0x420854926970a51e!8m2!3d51.5069673!4d-0.0915278!16s%2Fg%2F1pwfct0ll!19sChIJU-yarVcDdkgRHqVwaZJUCEI?authuser=0&hl=en&rclk=1
restaurants in London,Babel Grill House,info@babelgrillhouse.co.uk,http://www.babelgrillhouse.co.uk/,+44 20 7392 9675,"OpenTable, TheFork, Tock",https://www.google.com/maps/place/Babel+Grill+House/data=!4m7!3m6!1s0x48761da9c90d0bdb:0xa2b6d403cee02c9c!8m2!3d51.5182871!4d-0.0711429!16s%2Fg%2F11mwksvsds!19sChIJ2wsNyakddkgRnCzgzgPUtqI?authuser=0&hl=en&rclk=1
restaurants in London,St. John,"jane@stjohnrestaurant.com, info@stjohnrestaurant.com, reservations@stjohnrestaurant.com, accounts@stjohnrestaurant.com, wine@stjohnwines.com, press@stjohnrestaurant.com",https://www.stjohnrestaurant.com/,+44 20 7251 0848,"OpenTable, Tock",https://www.google.com/maps/place/St.+John/data=!4m7!3m6!1s0x48761b5161b93317:0x86773f8e76f37d7!8m2!3d51.5204534!4d-0.1014304!16zL20vMGdmZng2!19sChIJFzO5YVEbdkgR1zdv5_hzZwg?authuser=0&hl=en&rclk=1
restaurants in London,The Barbary,"nealsyard@thebarbary.co.uk, comms@studiopaskin.com",https://www.thebarbary.co.uk/neals-yard,+44 20 7870 5659,SevenRooms,https://www.google.com/maps/place/The+Barbary/data=!4m7!3m6!1s0x487604cd283a0115:0x1fa90333af1e4c95!8m2!3d51.5144401!4d-0.126181!16s%2Fg%2F11bz0pqcgr!19sChIJFQE6KM0EdkgRlUwerzMDqR8?authuser=0&hl=en&rclk=1
restaurants in London,Sheesh Mayfair | Best Turkish Restaurants and Nightclubs in London | Cocktail Bar | Nightclub,,https://sheeshrestaurant.co.uk/booking/?utm_source=Google&utm_medium=Organic&utm_campaign=GBP-Listing-Mayfair,+44 20 8559 1155,SevenRooms,https://www.google.com/maps/place/Sheesh+Mayfair+%7C+Best+Turkish+Restaurants+and+Nightclubs+in+London+%7C+Cocktail+Bar+%7C+Nightclub/data=!4m7!3m6!1s0x48760557491fa1e1:0x88b42685f7852898!8m2!3d51.5076583!4d-0.141273!16s%2Fg%2F11kj22xqq4!19sChIJ4aEfSVcFdkgRmCiF94UmtIg?authuser=0&hl=en&rclk=1
restaurants in London,Fallow,info@fallowrestaurant.com,http://www.fallowrestaurant.com/,+44 20 8017 1788,"SevenRooms, Resy",https://www.google.com/maps/place/Fallow/data=!4m7!3m6!1s0x487604d595786349:0x26d4df293937aa1a!8m2!3d51.50941!4d-0.1327837!16s%2Fg%2F11j36dmjrq!19sChIJSWN4ldUEdkgRGqo3OSnf1CY?authuser=0&hl=en&rclk=1
restaurants in London,Kricket Soho,"press@kricketrestaurants.com, hello@kricketrestaurants.com",http://www.kricketrestaurants.com/,+44 20 3019 8120,"OpenTable, SevenRooms",https://www.google.com/maps/place/Kricket+Soho/data=!4m7!3m6!1s0x487604d40af1695d:0x541519c451f66d70!8m2!3d51.5108075!4d-0.1351688!16s%2Fg%2F11csbsp_48!19sChIJXWnxCtQEdkgRcG32UcQZFVQ?authuser=0&hl=en&rclk=1
restaurants in London,Passyunk Avenue (Fitzrovia),,https://passyunkavenue.com/fitzrovia/?utm_source=gmb&utm_medium=organic&utm_campaign=fitzrovia,+44 20 3960 2251,"Tock, SevenRooms",https://www.google.com/maps/place/Passyunk+Avenue+%28Fitzrovia%29/data=!4m7!3m6!1s0x48761b29da587f55:0xb0341daae8a7b682!8m2!3d51.522045!4d-0.140425!16s%2Fg%2F11gfhdsmkj!19sChIJVX9Y2ikbdkgRgran6KodNLA?authuser=0&hl=en&rclk=1
restaurants in London,Olea Social,,http://www.oleasocial.co.uk/,+44 20 3149 1016,"OpenTable, TheFork, Quandoo",https://www.google.com/maps/place/Olea+Social/data=!4m7!3m6!1s0x4876058ec6bda1fd:0x4606ef89bada267e!8m2!3d51.5127616!4d-0.1269379!16s%2Fg%2F11j_970v0_!19sChIJ_aG9xo4FdkgRfibauonvBkY?authuser=0&hl=en&rclk=1
restaurants in London,OMA,hello@oma.london,http://oma.london/,+44 20 8129 6760,"OpenTable, Tock, SevenRooms",https://www.google.com/maps/place/OMA/data=!4m7!3m6!1s0x487603999336cae1:0xc90fb04e06d5a838!8m2!3d51.505349!4d-0.090019!16s%2Fg%2F11vwkpp7wm!19sChIJ4co2k5kDdkgROKjVBk6wD8k?authuser=0&hl=en&rclk=1
restaurants in London,Toklas,"bakery@toklas.co.uk, careers@toklas.co.uk, hello@toklas.co.uk, events@toklas.co.uk",https://www.toklaslondon.com/,+44 20 3930 8592,"Tock, SevenRooms",https://www.google.com/maps/place/Toklas/data=!4m7!3m6!1s0x487605970abb3463:0x8bad066586d43c5a!8m2!3d51.5120126!4d-0.1152601!16s%2Fg%2F11rrvr7gkt!19sChIJYzS7CpcFdkgRWjzUhmUGrYs?authuser=0&hl=en&rclk=1
restaurants in London,Winter Garden Restaurant,"spa@thelandmark.co.uk, event.sales@thelandmark.co.uk, my@e.mail, restaurants.reservation@thelandmark.co.uk, reservations@thelandmark.co.uk",https://www.landmarklondon.co.uk/dining/winter-garden/,+44 20 7631 8000,OpenTable,https://www.google.com/maps/place/Winter+Garden+Restaurant/data=!4m7!3m6!1s0x48761ac9e7dc5e8d:0xff665ab5e7977fee!8m2!3d51.5217666!4d-0.1627886!16s%2Fg%2F1tkc64tm!19sChIJjV7c58kadkgR7n-X57VaZv8?authuser=0&hl=en&rclk=1
restaurants in London,Villa Mamas Restaurant London,"enquiries@villamamas.com, marketingldn@villamamas.com",https://villamamas.com/london/,+44 20 3034 0777,SevenRooms,https://www.google.com/maps/place/Villa+Mamas+Restaurant+London/data=!4m7!3m6!1s0x4876056affe66321:0x85a436b27a4e7d02!8m2!3d51.4912705!4d-0.1672297!16s%2Fg%2F11g9fwm3k2!19sChIJIWPm_2oFdkgRAn1OerI2pIU?authuser=0&hl=en&rclk=1
restaurants in London,The Mantl,info@themantl.com,https://themantl.com/?utm_source=google&utm_medium=gmb&utm_campaign=local&utm_id=gmb,+44 20 7584 6677,OpenTable,https://www.google.com/maps/place/The+Mantl/data=!4m7!3m6!1s0x48760540c8f770e7:0xe9234c1bcc467956!8m2!3d51.4985862!4d-0.1660723!16s%2Fg%2F11h6yv2k6s!19sChIJ53D3yEAFdkgRVnlGzBtMI-k?authuser=0&hl=en&rclk=1
restaurants in London,Machiya,,https://www.machi-ya.co.uk/,+44 20 7925 0333,DesignMyNight (Collins),https://www.google.com/maps/place/Machiya/data=!4m7!3m6!1s0x487604d183c8aa9f:0x9ce053a4972c85f!8m2!3d51.5093254!4d-0.1318936!16s%2Fg%2F11dxkvq822!19sChIJn6rIg9EEdkgRX8hySToFzgk?authuser=0&hl=en&rclk=1
restaurants in London,La Petite Maison (LPM) London,info@lpmlondon.co.uk,http://www.lpmrestaurants.com/london,+44 20 7495 4774,SevenRooms,https://www.google.com/maps/place/La+Petite+Maison+%28LPM%29+London/data=!4m7!3m6!1s0x4876052b7983e181:0xb255204ab4c56a76!8m2!3d51.512629!4d-0.146231!16s%2Fg%2F1tdplk9g!19sChIJgeGDeSsFdkgRdmrFtEogVbI?authuser=0&hl=en&rclk=1
restaurants in London,The Seafood Bar,info@theseafoodbar.com,https://www.theseafoodbar.com/,+44 20 4525 0733,"Tock, Formitable",https://www.google.com/maps/place/The+Seafood+Bar/data=!4m7!3m6!1s0x48760555ae5d2711:0x6dd6443dd9686c56!8m2!3d51.5140965!4d-0.1329194!16s%2Fg%2F11nnhghg7s!19sChIJESddrlUFdkgRVmxo2T1E1m0?authuser=0&hl=en&rclk=1
